1.99e30, 0, 0, 0, 0
3.285e23, 57.9e9, 0, 0, 47870 
4.867e24, 1.082e11, 0, 0, 35000
5.972e24, 1.475e11, 0, 0, 30300
6.39e23, 2.28e11, 0, 0, 24077
1.898e27, 7.778412e11, 0, 0, 13069.7	
5.683e26, 1.42e12, 0, 0, 9620.2	
8.618e25, 2.87e12, 0, 0, 6810	
1.024e26, 4500e9, 0, 0, 5477.8	
1.30e22, 5906.4e9, 0, 0, 4700	
1.02e26, 7.31e12, 0, 0, 4251.6	
1.02e26, 8.72e12, 0, 0,	3893.7
1.02e26, 1.01e13, 0, 0,	3613.2181
1.02E26, 1.15E13, 0, 0,	3385.75558
1.02E26, 1.29E13, 0, 0, 3196.467206	
1.02E26, 1.43E13, 0, 0,	3035.745763
